trade_date,FirstTime,return,label
2005-07-07,2005-07-12,0.07075250050345705,1.0
2005-07-08,2005-07-12,0.07892578925789251,1.0
2005-07-11,2005-08-05,0.12974320954370833,1.0
2005-07-12,2005-07-25,0.05084320732242498,1.0
2005-07-13,2005-07-25,0.0698238447791677,1.0
2005-07-14,2005-07-25,0.06946472791923286,1.0
2005-07-15,2005-07-29,0.06675533599341299,1.0
2005-07-18,2005-07-29,0.057028514257128515,1.0
2005-07-19,2005-07-26,0.053011898087584886,1.0
2005-07-20,2005-07-26,0.06582563077691717,1.0
2005-07-21,2005-08-10,0.06939512863639186,1.0
2005-07-22,2005-08-11,0.03908323281061521,1.0
2005-07-25,2005-08-11,0.04593723899296043,1.0
2005-07-26,2005-08-11,0.04090720180490415,1.0
2005-07-27,2005-08-10,0.04214468287463613,1.0
2005-07-28,2005-08-11,0.04469074007865581,1.0
2005-07-29,2005-08-08,0.050343114055844795,1.0
2005-08-01,2005-08-10,0.07749726908605425,1.0
2005-08-02,2005-08-10,0.06700721153846168,1.0
2005-08-03,2005-08-09,0.06566232519056481,1.0
2005-08-04,2005-08-11,0.06957831325301211,1.0
2005-08-05,2005-09-02,0.010723075120121939,0.0
2005-08-08,2005-08-18,-0.02831012990039028,-1.0
2005-08-09,2005-08-18,-0.03175063849547255,-1.0
2005-08-10,2005-08-12,-0.0485398129135296,-1.0
2005-08-11,2005-08-18,-0.06049000281610828,-1.0
2005-08-12,2005-08-18,-0.03292944518522822,-1.0
2005-08-15,2005-09-12,-0.0034793520419803547,0.0
2005-08-16,2005-08-18,0.015283589028358913,1.0
2005-08-17,2005-09-01,0.009347951529140142,1.0
2005-08-18,2005-09-14,0.020682213296564944,1.0
2005-08-19,2005-09-14,0.02743597291728017,1.0
2005-08-22,2005-09-01,0.03102737709743897,1.0
2005-08-23,2005-09-14,0.06627830945729074,1.0
2005-08-24,2005-09-14,0.04491174928642172,1.0
2005-08-25,2005-09-14,0.03873993861833336,1.0
2005-08-26,2005-09-14,0.03994434459968699,1.0
2005-08-29,2005-09-14,0.047352134057336404,1.0
2005-08-30,2005-09-14,0.04613051845803939,1.0
2005-08-31,2005-09-16,0.04363509425180356,1.0
2005-09-01,2005-09-06,0.026730009730410398,1.0
2005-09-02,2005-09-14,0.025497370226389204,1.0
2005-09-05,2005-09-13,0.0338904899135446,1.0
2005-09-06,2005-09-14,0.05356513567485033,1.0
2005-09-07,2005-09-14,0.04857660606769154,1.0
2005-09-08,2005-09-14,0.03749494482639082,1.0
2005-09-09,2005-09-15,0.04951128694437967,1.0
2005-09-12,2005-09-16,0.03369434416365813,1.0
2005-09-13,2005-09-21,0.00810872544540886,1.0
2005-09-14,2005-09-21,-0.040695729735756414,-1.0
2005-09-15,2005-09-20,-0.04176411627129972,-1.0
2005-09-16,2005-09-21,-0.04606685514718112,-1.0
2005-09-19,2005-09-21,-0.040695729735756414,-1.0
2005-09-20,2005-09-23,-0.06202560326271678,-1.0
2005-09-21,2005-10-20,-0.022373314737331618,-1.0
2005-09-22,2005-10-10,0.014497076721154967,1.0
2005-09-23,2005-10-11,0.036717193067214104,1.0
2005-09-26,2005-09-30,0.03167067307692295,1.0
2005-09-27,2005-10-11,0.02111900097943198,1.0
2005-09-29,2005-10-20,0.00609167671893851,1.0
2005-09-30,2005-10-20,-0.018070498721987738,-1.0
2005-10-10,2005-10-18,0.0012349309026755684,1.0
2005-10-11,2005-10-14,0.0366400652414518,1.0
2005-10-12,2005-10-14,0.032969584397492424,1.0
2005-10-13,2005-10-20,0.032969584397492424,1.0
2005-10-14,2005-10-20,0.06684251543672448,1.0
2005-10-17,2005-10-19,0.05783748439636227,1.0
2005-10-18,2005-10-20,0.07730492160542424,1.0
2005-10-19,2005-10-26,-0.008340185598496364,-1.0
2005-10-20,2005-10-26,-0.051247471341874684,-1.0
2005-10-21,2005-10-26,-0.04469842706800964,-1.0
2005-10-24,2005-11-03,-0.06069854187860302,-1.0
2005-10-25,2005-11-22,-0.04761904761904767,0.0
2005-10-26,2005-11-18,-0.01563610518834402,-1.0
2005-10-27,2005-11-18,-0.01688165012185694,-1.0
2005-10-28,2005-11-07,0.04214468287463613,1.0
2005-10-31,2005-11-03,0.015229602177311952,1.0
2005-11-01,2005-11-03,0.005794274568297952,1.0
2005-11-02,2005-11-18,0.012883471026633453,1.0
2005-11-03,2005-11-18,0.054873646209386395,1.0
2005-11-04,2005-11-18,0.04214468287463613,1.0
2005-11-07,2005-11-18,0.060039905677489624,1.0
2005-11-08,2005-11-24,0.0433851098018212,1.0
2005-11-09,2005-11-18,0.03342175066313002,1.0
2005-11-10,2005-11-18,0.0433851098018212,1.0
2005-11-11,2005-11-18,0.03837953091684443,1.0
2005-11-14,2005-11-18,0.06396407330986786,1.0
2005-11-15,2005-11-18,0.038016829105878,1.0
2005-11-16,2005-11-18,0.05566837892724896,1.0
2005-11-17,2005-12-09,0.07382630510094379,1.0
2005-11-18,2005-12-09,0.047399041752224536,1.0
2005-11-21,2005-12-06,0.052260615437510705,1.0
2005-11-22,2005-12-09,0.0709161952528139,1.0
2005-11-23,2005-12-12,0.05467807707770955,1.0
2005-11-24,2005-12-12,0.038983818037795714,1.0
2005-11-25,2005-12-09,0.03780942692438116,1.0
2005-11-28,2005-12-09,0.046145957955904926,1.0
2005-11-29,2005-12-14,0.05321697467488029,1.0
2005-11-30,2005-12-09,0.034048272386179024,1.0
2005-12-01,2005-12-12,0.04837336058593089,1.0
2005-12-02,2005-12-09,0.03759271746459869,1.0
2005-12-05,2005-12-14,0.06880162951227797,1.0
2005-12-06,2005-12-14,0.050728668372455266,1.0
2005-12-07,2005-12-12,0.04833786558632558,1.0
2005-12-08,2005-12-20,0.08761787157611134,1.0
2005-12-09,2005-12-20,0.05521973533736313,1.0
2005-12-12,2005-12-20,0.049390739236393255,1.0
2005-12-13,2005-12-22,0.06693744922826972,1.0
2005-12-14,2005-12-22,0.04293276866066709,1.0
2005-12-15,2005-12-22,0.04177462852308178,1.0
2005-12-16,2005-12-22,0.044038155802861745,1.0
2005-12-19,2006-01-04,0.038673740053050354,1.0
2005-12-20,2006-01-04,0.07214739123703362,1.0
2005-12-21,2006-01-04,0.0699387134984808,1.0
2005-12-22,2006-01-04,0.054514999238617357,1.0
2005-12-23,2005-12-27,0.05232499240198574,1.0
2005-12-26,2006-01-04,0.03636635737803062,1.0
2005-12-27,2006-01-04,0.061085857296082624,1.0
2005-12-28,2006-01-04,0.061085857296082624,1.0
2005-12-29,2006-01-04,0.05232499240198574,1.0
2005-12-30,2006-01-18,0.06871774111932005,1.0
2006-01-04,2006-01-16,0.016606498194945862,1.0
2006-01-05,2006-01-13,-0.03361742424242431,-1.0
2006-01-06,2006-01-16,-0.06065905743740807,-1.0
2006-01-09,2006-01-16,-0.04910547894148343,-1.0
2006-01-10,2006-01-16,-0.051800232288037096,-1.0
2006-01-11,2006-01-13,-0.05447975539701655,-1.0
2006-01-12,2006-01-16,0.02238805970149249,1.0
2006-01-13,2006-01-18,0.05085227272727266,1.0
2006-01-16,2006-01-18,0.0874081332680059,1.0
2006-01-17,2006-02-20,0.12037170091488236,1.0
2006-01-18,2006-02-21,0.007299270072992803,1.0
2006-01-19,2006-02-21,0.04042732390620163,1.0
2006-01-20,2006-02-20,0.05400124344968482,1.0
2006-01-23,2006-02-06,0.06549943883277232,1.0
2006-01-24,2006-02-21,0.07131894917396431,1.0
2006-01-25,2006-02-09,0.03900538458170999,1.0
2006-02-06,2006-02-21,0.014707139803334934,1.0
2006-02-07,2006-02-23,0.0568749452282884,1.0
2006-02-08,2006-02-20,0.04938003045464412,1.0
2006-02-09,2006-02-20,0.07890499194847034,1.0
2006-02-10,2006-02-17,0.07501002807862012,1.0
2006-02-13,2006-02-20,0.07596913057054921,1.0
2006-02-14,2006-02-21,0.07719562425262416,1.0
2006-02-16,2006-02-24,0.07970982825678452,1.0
2006-02-17,2006-03-09,-0.04920966298836882,-1.0
2006-02-20,2006-03-09,-0.05974551276649542,-1.0
2006-02-21,2006-03-09,-0.07479270315091213,-1.0
2006-02-22,2006-03-09,-0.06931353740929203,-1.0
2006-02-23,2006-03-09,-0.082476770002467,-1.0
2006-02-24,2006-05-12,0.08859837293074846,1.0
2006-03-09,2006-05-12,0.2052339128876144,1.0
2006-03-10,2006-05-12,0.22415911883846906,1.0
2006-03-13,2006-05-12,0.2052339128876144,1.0
2006-03-14,2006-05-12,0.24714828897338403,1.0
2006-03-15,2006-05-12,0.2343843223644959,1.0
2006-03-16,2006-05-12,0.22415911883846906,1.0
2006-03-17,2006-05-12,0.2321224059737046,1.0
2006-03-20,2006-06-07,0.1381064873705251,1.0
2006-05-12,2006-06-07,-0.06856038072575854,-1.0
2006-05-15,2006-06-07,-0.007908710880126457,-1.0
2006-05-16,2006-05-23,0.03126890502117363,1.0
2006-05-17,2006-06-07,-0.09368688757573496,-1.0
2006-05-18,2006-05-23,-0.07638068376719909,-1.0
2006-05-19,2006-05-26,-0.08829947328818666,-1.0
2006-05-22,2006-05-24,-0.06796153846153863,-1.0
2006-05-23,2006-06-07,-0.032692000638671614,-1.0
2006-05-24,2006-06-07,-0.08009717951638018,-1.0
2006-05-25,2006-06-07,-0.08744115985690082,-1.0
2006-05-26,2006-06-07,-0.11153070577451885,-1.0
2006-05-29,2006-06-07,-0.11240934730056418,-1.0
2006-05-31,2006-06-07,-0.0892588695129285,-1.0
2006-06-01,2006-06-07,-0.10717706874953947,-1.0
2006-06-02,2006-06-07,-0.09198890887290179,-1.0
2006-06-05,2006-06-07,-0.08464908967288676,-1.0
2006-06-06,2006-06-22,-0.050061236987140156,-1.0
2006-06-07,2006-06-20,0.02422316675607661,1.0
2006-06-08,2006-06-16,0.06032822573892682,1.0
2006-06-09,2006-06-22,0.08457519698526905,1.0
2006-06-12,2006-06-20,0.05734115508551607,1.0
2006-06-13,2006-06-16,0.07873219253140018,1.0
2006-06-14,2006-06-26,0.12616019250601584,1.0
2006-06-16,2006-06-23,0.07526188557614821,1.0
2006-06-19,2006-07-03,0.085760781122864,1.0
2006-06-20,2006-06-26,0.08536344612468905,1.0
2006-06-21,2006-07-03,0.09574680113206036,1.0
2006-06-22,2006-07-19,0.07404079081034598,1.0
2006-06-23,2006-07-13,-0.015300671550671496,-1.0
2006-06-26,2006-07-19,-0.04601318944844135,-1.0
2006-06-27,2006-07-03,-0.05307027605719972,-1.0
2006-06-28,2006-07-13,-0.04724167115488198,-1.0
2006-06-29,2006-07-13,-0.060755461165048597,-1.0
2006-06-30,2006-07-05,-0.0635964912280702,-1.0
2006-07-03,2006-07-07,-0.10389610389610393,-1.0
2006-07-04,2006-07-28,-0.08884778990197895,-1.0
2006-07-05,2006-07-27,-0.0454915333049174,-1.0
2006-07-06,2006-07-31,-0.055493510994723994,-1.0
2006-07-07,2006-07-28,-0.0503142183817753,-1.0
2006-07-10,2006-07-13,-0.06308365947223626,-1.0
2006-07-11,2006-07-19,-0.0717165124582485,-1.0
2006-07-12,2006-08-02,-0.09373311723392763,-1.0
2006-07-13,2006-07-31,-0.051724137931034475,-1.0
2006-07-14,2006-07-31,-0.059847878302642155,-1.0
2006-07-17,2006-07-31,-0.059847878302642155,-1.0
2006-07-18,2006-08-01,-0.058830601530877935,-1.0
2006-07-19,2006-07-31,-0.04660414890593911,-1.0
2006-07-20,2006-07-31,-0.05072756669361367,-1.0
2006-07-21,2006-07-28,-0.06284916201117308,-1.0
2006-07-24,2006-07-31,-0.06879460745440114,-1.0
2006-07-25,2006-07-31,-0.05908157926510249,-1.0
2006-07-26,2006-07-31,-0.06552098844930987,-1.0
2006-07-27,2006-08-02,-0.053290385713120836,-1.0
2006-07-28,2006-08-08,0.005541999255552321,1.0
2006-07-31,2006-08-08,0.03525654673195655,1.0
2006-08-01,2006-08-08,0.039950382822190766,1.0
2006-08-02,2006-08-10,0.047116585554933366,1.0
2006-08-03,2006-08-08,0.03835755322744183,1.0
2006-08-04,2006-08-10,0.04307235306598778,1.0
2006-08-07,2006-08-16,0.058567872062112336,1.0
2006-08-08,2006-08-15,0.04499650392793986,1.0
2006-08-09,2006-08-22,0.06444897789250192,1.0
2006-08-10,2006-08-23,0.040154597233523104,1.0
2006-08-11,2006-08-22,0.04426819892364353,1.0
2006-08-14,2006-08-28,0.04765964356757202,1.0
2006-08-15,2006-08-28,0.02870012356997642,1.0
2006-08-16,2006-08-23,0.0409729602078166,1.0
2006-08-17,2006-08-23,0.061018173065350734,1.0
2006-08-18,2006-08-28,0.06675271245916203,1.0
2006-08-21,2006-09-06,0.054251205803802716,1.0
2006-08-22,2006-09-06,0.0020729847068485796,1.0
2006-08-23,2006-09-06,0.03723795869337776,1.0
2006-08-24,2006-08-28,0.03615390570565924,1.0
2006-08-25,2006-09-01,0.045870125810736795,1.0
2006-08-28,2006-09-08,0.012099213551119092,1.0
2006-08-29,2006-09-08,0.049129400935798095,1.0
2006-08-30,2006-09-08,0.05235823651611904,1.0
2006-08-31,2006-09-06,0.042730807349241395,1.0
2006-09-01,2006-09-08,0.06772053083528506,1.0
2006-09-04,2006-09-08,0.05235823651611904,1.0
2006-09-05,2006-09-11,0.07179662044404012,1.0
2006-09-06,2006-09-11,0.05682157800358634,1.0
2006-09-07,2006-09-21,0.019909772193430486,1.0
2006-09-08,2006-09-18,0.0,0.0
2006-09-11,2006-09-26,0.000954434585881403,1.0
2006-09-12,2006-09-18,0.03714938262793521,1.0
2006-09-13,2006-09-21,0.03027402602006446,1.0
2006-09-14,2006-09-21,0.04108754835936379,1.0
2006-09-15,2006-09-20,0.04011881755064062,1.0
2006-09-18,2006-09-21,0.008773533174922354,1.0
2006-09-19,2006-09-26,-0.023116592736845853,-1.0
2006-09-20,2006-09-25,-0.043367707303291314,-1.0
2006-09-21,2006-09-26,-0.06795582011492274,-1.0
2006-09-22,2006-10-09,-0.001866460064797848,-1.0
